,pipeline,signal,end-to-end,stand-alone
109,arima,A4Benchmark-TS100,345.092462,12488.060905
110,arima,A4Benchmark-TS11,962.7037710000001,307.932303
111,arima,A4Benchmark-TS12,247.64912599999997,369.80655899999994
112,arima,A4Benchmark-TS13,418.72221099999996,256.116087
113,arima,A4Benchmark-TS14,355.632983,268.239981
114,arima,A4Benchmark-TS15,244.608922,241.96223500000002
115,arima,A4Benchmark-TS16,350.24998,295.62837800000005
116,arima,A4Benchmark-TS17,399.878184,394.73109000000005
117,arima,A4Benchmark-TS18,348.39878799999997,214.65631799999997
118,arima,A4Benchmark-TS19,372.066324,209.93883799999998
119,arima,A4Benchmark-TS2,665.935325,1003.329147
120,arima,A4Benchmark-TS20,289.406862,412.354278
121,arima,A4Benchmark-TS21,465.07950700000004,1480.779652
122,arima,A4Benchmark-TS22,303.843352,366.574324
123,arima,A4Benchmark-TS23,524.543824,315.35930499999995
124,arima,A4Benchmark-TS24,307.168034,238.64733199999998
125,arima,A4Benchmark-TS25,945.1862480000001,367.832741
126,arima,A4Benchmark-TS26,362.666311,314.64177400000005
127,arima,A4Benchmark-TS27,753.914313,1386.684238
128,arima,A4Benchmark-TS28,401.663861,489.455561
129,arima,A4Benchmark-TS29,366.35653199999996,685.0263010000001
130,arima,A4Benchmark-TS3,353.759545,225.096893
131,arima,A4Benchmark-TS30,372.250022,347.52189799999996
132,arima,A4Benchmark-TS31,413.35554,210.382377
133,arima,A4Benchmark-TS32,384.245663,398.10747299999997
134,arima,A4Benchmark-TS33,2025.3415100000002,375.60681300000005
135,arima,A4Benchmark-TS34,384.356503,282.391218
136,arima,A4Benchmark-TS35,2058.778073,1559.510041
137,arima,A4Benchmark-TS36,197.384434,306.204896
138,arima,A4Benchmark-TS37,352.576386,292.40027399999997
139,arima,A4Benchmark-TS38,349.594348,242.085187
140,arima,A4Benchmark-TS39,387.07325099999997,258.839182
141,arima,A4Benchmark-TS4,299.722547,516.492128
142,arima,A4Benchmark-TS40,454.86295199999995,251.948564
143,arima,A4Benchmark-TS41,285.176464,691.27891
144,arima,A4Benchmark-TS42,276.461625,625.484959
145,arima,A4Benchmark-TS43,367.82048,242.71831699999998
146,arima,A4Benchmark-TS44,238.86654500000003,248.715952
