dataset,pipeline,signal,iteration,f1,recall,precision,tn,fp,fn,tp,status,elapsed,split,run_id
realAWSCloudwatch,dense_autoencoder,ec2_cpu_utilization_825cc2,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,1553.067771,False,7352502d-5
realAWSCloudwatch,dense_autoencoder,ec2_cpu_utilization_ac20cd,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,955.541289,False,934e090f-3
realAWSCloudwatch,dense_autoencoder,ec2_cpu_utilization_c6585a,0,,,,,0,0,0,OK,1056.264821,False,7352502d-5
realAWSCloudwatch,dense_autoencoder,ec2_cpu_utilization_fe7f93,0,0.8,0.6666666666666666,1.0,,0,1,2,OK,1555.985967,False,7352502d-5
realAWSCloudwatch,dense_autoencoder,ec2_disk_write_bytes_1ef3de,0,1.0,1.0,1.0,,0,0,1,OK,1160.651692,False,7352502d-5
realAWSCloudwatch,dense_autoencoder,ec2_disk_write_bytes_c0d644,0,0.4,0.3333333333333333,0.5,,1,2,1,OK,1033.349566,False,7352502d-5
realAWSCloudwatch,dense_autoencoder,ec2_network_in_257a54,0,1.0,1.0,1.0,,0,0,1,OK,1064.247928,False,7352502d-5
realAWSCloudwatch,dense_autoencoder,ec2_network_in_5abac7,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,1103.86287,False,7352502d-5
realAWSCloudwatch,dense_autoencoder,elb_request_count_8c0756,0,1.0,1.0,1.0,,0,0,2,OK,1192.602635,False,7352502d-5
realAWSCloudwatch,dense_autoencoder,grok_asg_anomaly,0,0.5,0.3333333333333333,1.0,,0,2,1,OK,1442.610308,False,7352502d-5
realAWSCloudwatch,dense_autoencoder,iio_us-east-1_i-a2eb1cd9_NetworkIn,0,1.0,1.0,1.0,,0,0,2,OK,676.304303,False,7352502d-5
realAWSCloudwatch,dense_autoencoder,rds_cpu_utilization_cc0c53,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,1209.017994,False,7352502d-5
realAWSCloudwatch,dense_autoencoder,rds_cpu_utilization_e47b3b,0,1.0,1.0,1.0,,0,0,2,OK,642.2243490000002,False,7352502d-5
realAWSCloudwatch,lstm_autoencoder,ec2_cpu_utilization_24ae8d,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,1294.4115689999999,False,7352502d-5
realAWSCloudwatch,lstm_autoencoder,ec2_cpu_utilization_53ea38,0,1.0,1.0,1.0,,0,0,2,OK,1565.5150039999999,False,7352502d-5
realAWSCloudwatch,lstm_autoencoder,ec2_cpu_utilization_5f5533,0,1.0,1.0,1.0,,0,0,2,OK,1962.9448739999998,False,7352502d-5
realAWSCloudwatch,lstm_autoencoder,ec2_cpu_utilization_77c1ca,0,,0.0,,,0,1,0,OK,1450.8315,False,7352502d-5
realAWSCloudwatch,lstm_autoencoder,ec2_cpu_utilization_825cc2,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,969.2075710000001,False,7352502d-5
realAWSCloudwatch,lstm_autoencoder,ec2_cpu_utilization_ac20cd,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,1138.0453730000004,False,7352502d-5
realAWSCloudwatch,lstm_autoencoder,ec2_cpu_utilization_c6585a,0,,,,,0,0,0,OK,815.460008,False,7352502d-5
realAWSCloudwatch,lstm_autoencoder,ec2_cpu_utilization_fe7f93,0,0.8,0.6666666666666666,1.0,,0,1,2,OK,1807.7565969999998,False,7352502d-5
realAWSCloudwatch,lstm_autoencoder,ec2_disk_write_bytes_1ef3de,0,1.0,1.0,1.0,,0,0,1,OK,2904.580099,False,7352502d-5
realAWSCloudwatch,lstm_autoencoder,ec2_disk_write_bytes_c0d644,0,0.4,0.3333333333333333,0.5,,1,2,1,OK,1350.362089,False,7352502d-5
realAWSCloudwatch,lstm_autoencoder,ec2_network_in_257a54,0,0.4,1.0,0.25,,3,0,1,OK,967.390328,False,7352502d-5
realAWSCloudwatch,lstm_autoencoder,ec2_network_in_5abac7,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,1347.081609,False,7352502d-5
realAWSCloudwatch,lstm_autoencoder,elb_request_count_8c0756,0,1.0,1.0,1.0,,0,0,2,OK,973.323916,False,7352502d-5
